Rider;1st;2nd;3rd;GC;POINTS;KOM;YOUTH
ARMSTRONG Lance ;0;0;0;7;0;0;0
ANQUETIL Jacques ;0;0;0;5;0;0;0
MERCKX Eddy ;0;0;0;5;3;2;0
HINAULT Bernard ;0;0;0;5;1;1;0
INDURÁIN Miguel ;0;0;0;5;0;0;0
FROOME Chris ;0;0;0;4;0;1;0
BOBET Louison ;0;0;0;3;0;1;0
LEMOND Greg ;0;0;0;3;0;0;1
CONTADOR Alberto ;0;0;0;3;0;0;1
POGAČAR Tadej ;0;0;0;3;0;2;4
FRANTZ Nicolas;20;18;12;2;0;0;0
THYS Philippe;12;12;13;2;0;0;0
BOTTECCHIA Ottavio;9;9;4;2;0;0;0
PETIT-BRETON Lucien;7;17;9;2;0;0;0
LEDUCQ André ;0;0;0;2;0;0;0
MAGNE Antonin ;0;0;0;2;0;0;0
MAES Sylvère ;0;0;0;2;0;1;0
BARTALI Gino ;0;0;0;2;0;2;0
COPPI Fausto ;0;0;0;2;0;2;0
THÉVENET Bernard ;0;0;0;2;0;0;0
FIGNON Laurent ;0;0;0;2;0;0;1
VINGEGAARD Jonas ;0;0;0;2;0;1;0
FABER François;19;10;11;1;0;0;0
TROUSSELIER Louis;13;4;8;1;0;0;0
GARRIGOU Gustave;8;13;21;1;0;0;0
LAMBOT Firmin;6;4;8;1;0;0;0
LAPIZE Octave;6;2;6;1;0;0;0
POTTIER René;5;4;2;1;0;0;0
BUYSSE Lucien;5;3;4;1;0;0;0
DEWAELE Maurice;5;2;6;1;0;0;0
GARIN Maurice;4;1;0;1;0;0;0
DEFRAEYE Odiel;3;6;4;1;0;0;0
SCIEUR Léon;3;2;10;1;0;0;0
GARIN Maurice ;0;0;0;1;0;0;0
LAMBOT Firmin ;0;0;0;1;0;0;0
THYS Philippe ;0;0;0;1;0;0;0
PÉLISSIER Henri ;0;0;0;1;0;0;0
SPEICHER Georges ;0;0;0;1;0;0;0
MAES Romain ;0;0;0;1;0;0;0
LAPÉBIE Roger ;0;0;0;1;0;0;0
ROBIC Jean ;0;0;0;1;0;0;0
KÜBLER Ferdinand ;0;0;0;1;1;0;0
KOBLET Hugo ;0;0;0;1;0;0;0
BAHAMONTES Federico ;0;0;0;1;0;6;0
GAUL Charly ;0;0;0;1;0;2;0
WALKOWIAK Roger ;0;0;0;1;0;0;0
NENCINI Gastone ;0;0;0;1;0;1;0
JANSSEN Jan ;0;0;0;1;3;0;0
GIMONDI Felice ;0;0;0;1;0;0;0
AIMAR Lucien ;0;0;0;1;0;0;0
PINGEON Roger ;0;0;0;1;0;0;0
VAN IMPE Lucien ;0;0;0;1;0;6;0
OCAÑA Luis ;0;0;0;1;0;0;0
ZOETEMELK Joop ;0;0;0;1;0;0;0
ROCHE Stephen ;0;0;0;1;0;0;0
DELGADO Pedro ;0;0;0;1;0;0;0
PANTANI Marco ;0;0;0;1;0;0;2
RIIS Bjarne ;0;0;0;1;0;0;0
ULLRICH Jan ;0;0;0;1;0;0;3
LANDIS Floyd ;0;0;0;1;0;0;0
SASTRE Carlos ;0;0;0;1;0;0;0
EVANS Cadel ;0;0;0;1;0;0;0
WIGGINS Bradley ;0;0;0;1;0;0;0
NIBALI Vincenzo ;0;0;0;1;0;0;0
THOMAS Geraint ;0;0;0;1;0;0;0
BERNAL Egan ;0;0;0;1;0;0;1
CAVENDISH Mark;35;4;5;0;0;0;0
MERCKX Eddy;34;18;11;0;0;0;0
HINAULT Bernard;28;12;6;0;0;0;0
LEDUCQ André;24;14;19;0;0;0;0
DARRIGADE André;22;12;5;0;0;0;0
ARMSTRONG Lance;22;11;6;0;0;0;0
ALAVOINE Jean;17;10;8;0;0;0;0
POGAČAR Tadej;17;7;7;0;0;0;0
ANQUETIL Jacques;16;9;4;0;0;0;0
LE GREVÈS René;16;6;6;0;0;0;0
PÉLISSIER Charles;15;16;10;0;0;0;0
MAERTENS Freddy;15;9;7;0;0;0;0
KITTEL Marcel;14;2;2;0;0;0;0
ZABEL Erik;12;22;19;0;0;0;0
SAGAN Peter;12;22;13;0;0;0;0
INDURÁIN Miguel;12;13;8;0;0;0;0
MCEWEN Robbie;12;10;6;0;0;0;0
BARTALI Gino;12;6;6;0;0;0;0
AERTS Jean;12;6;3;0;0;0;0
CIPOLLINI Mario;12;2;4;0;0;0;0
ZOETEMELK Joop;11;13;9;0;0;0;0
BOBET Louison;11;9;5;0;0;0;0
GREIPEL André;11;8;6;0;0;0;0
DI PACO Raffaele;11;3;6;0;0;0;0
MAGNE Antonin;10;12;10;0;0;0;0
KNETEMANN Gerrie;10;12;8;0;0;0;0
GODEFROOT Walter;10;11;9;0;0;0;0
HUSHOVD Thor;10;8;6;0;0;0;0
PÉLISSIER Henri;10;8;2;0;0;0;0
GAUL Charly;10;5;2;0;0;0;0
ARCHAMBAUD Maurice;10;4;5;0;0;0;0
RAAS Jan;10;3;5;0;0;0;0
LAPÉBIE Roger;9;11;2;0;0;0;0
VAN AERT Wout;9;10;6;0;0;0;0
ABDUZHAPAROV Djamolidine;9;9;7;0;0;0;0
PHILIPSEN Jasper;9;9;4;0;0;0;0
THÉVENET Bernard;9;8;5;0;0;0;0
MAES Sylvère;9;6;3;0;0;0;0
MEULENBERG Eloi;9;6;1;0;0;0;0
VAN POPPEL Jean-Paul;9;6;1;0;0;0;0
FIGNON Laurent;9;5;4;0;0;0;0
COPPI Fausto;9;3;2;0;0;0;0
STEELS Tom;9;3;0;0;0;0;0
OCAÑA Luis;9;2;5;0;0;0;0
