Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
CAVENDISH Mark;35;4;5;3;3;0;2;0;0
MERCKX Eddy;34;18;11;13;7;5;3;2;0
HINAULT Bernard;28;12;6;9;6;5;1;1;0
LEDUCQ André;24;14;19;15;11;2;0;0;0
DARRIGADE André;22;12;5;7;8;0;2;0;0
ARMSTRONG Lance;22;11;6;6;3;7;0;0;0
FRANTZ Nicolas;20;18;12;14;7;2;0;0;0
FABER François;19;10;11;5;4;1;0;0;0
ALAVOINE Jean;17;10;8;10;5;0;0;0;0
POGAČAR Tadej;17;7;7;3;4;3;0;2;4
ANQUETIL Jacques;16;9;4;8;3;5;0;0;0
LE GREVÈS René;16;6;6;3;5;0;0;0;0
PÉLISSIER Charles;15;16;10;4;2;0;0;0;0
MAERTENS Freddy;15;9;7;1;1;0;3;0;0
KITTEL Marcel;14;2;2;0;2;0;0;0;0
TROUSSELIER Louis;13;4;8;10;2;1;0;0;0
ZABEL Erik;12;22;19;11;16;0;6;0;0
SAGAN Peter;12;22;13;16;13;0;7;0;0
INDURÁIN Miguel;12;13;8;2;4;5;0;0;0
THYS Philippe;12;12;13;11;6;3;0;0;0
MCEWEN Robbie;12;10;6;14;7;0;3;0;0
BARTALI Gino;12;6;6;5;4;2;0;2;0
AERTS Jean;12;6;3;5;1;0;0;0;0
CIPOLLINI Mario;12;2;4;1;1;0;0;0;0
ZOETEMELK Joop;11;13;9;19;15;1;0;0;0
BOBET Louison;11;9;5;5;4;3;0;1;0
GREIPEL André;11;8;6;5;1;0;0;0;0
DI PACO Raffaele;11;3;6;3;3;0;0;0;0
MAGNE Antonin;10;12;10;20;11;2;0;0;0
KNETEMANN Gerrie;10;12;8;3;3;0;0;0;0
GODEFROOT Walter;10;11;9;7;6;0;1;0;0
HUSHOVD Thor;10;8;6;6;12;0;2;0;0
PÉLISSIER Henri;10;8;2;5;5;1;0;0;0
GAUL Charly;10;5;2;1;3;1;0;2;0
ARCHAMBAUD Maurice;10;4;5;4;1;0;0;0;0
RAAS Jan;10;3;5;4;1;0;0;0;0
LAPÉBIE Roger;9;11;2;3;1;1;0;0;0
VAN AERT Wout;9;10;6;3;2;0;1;0;0
ABDUZHAPAROV Djamolidine;9;9;7;4;4;0;3;0;0
BOTTECCHIA Ottavio;9;9;4;6;7;2;0;0;0
PHILIPSEN Jasper;9;9;4;3;2;0;1;0;0
THÉVENET Bernard;9;8;5;6;4;2;0;0;0
MAES Sylvère;9;6;3;6;10;2;0;1;0
MEULENBERG Eloi;9;6;1;1;1;0;0;0;0
VAN POPPEL Jean-Paul;9;6;1;0;1;0;1;0;0
FIGNON Laurent;9;5;4;2;2;2;0;0;1
COPPI Fausto;9;3;2;1;1;2;0;2;0
STEELS Tom;9;3;0;2;1;0;0;0;0
OCAÑA Luis;9;2;5;5;3;1;0;0;0
AUCOUTURIER Hippolyte;9;0;1;2;2;0;0;0;0
GARRIGOU Gustave;8;13;21;9;14;1;0;0;0
VAN IMPE Lucien;8;10;15;11;9;1;0;6;0
GEORGET Émile;8;9;4;9;8;0;0;0;0
KÜBLER Ferdinand;8;9;4;5;1;1;1;0;0
ALTIG Rudi;8;8;6;3;3;0;1;0;0
SPEICHER Georges;8;8;4;11;8;1;0;0;0
PANTANI Marco;8;5;5;1;2;1;0;0;2
HOBAN Barry;8;4;7;5;8;0;0;0;0
MOTTIAT Louis;8;3;5;3;4;0;0;0;0
GUERRA Learco;8;2;4;5;3;0;0;0;0
VIETTO René;8;2;1;4;4;0;0;1;0
HASSENFORDER Roger;8;1;0;0;1;0;0;0;0
